Player,Position,Wingspan (in),Height (in),Seasons in College,G-Col,MPG-Col,STL-Col,BLK-Col,PF-Col,STL%-Col,BLK%-Col,SOS-Col,DWS-Col,DWS/40-Col,DBPM-Col,G-NBA,MPG-NBA,STL-NBA,BLK-NBA,DWS-NBA,DWS/48-NBA,DBPM-NBA
Anthony Davis,PF,89.5,81.25,1,40,32.0,1.4,4.7,2.0,2.5,13.7,7.93,4.1,0.128,10.8,410,34.8,1.3,2.4,22.5,0.076,2.2
Michael Kidd-Gilchrist,SF,84,77.75,1,40,31.1,1.0,0.9,2.4,1.9,2.8,7.93,2.6,0.084,4.1,357,26.7,0.7,0.7,10.3,0.052,1.1
Bradley Beal,SG,80,75.25,1,37,34.2,1.4,0.8,2.1,2.5,2.6,7.33,2.1,0.066,3.3,406,33.9,1.1,0.3,12.2,0.043,-1.1
Dion Waiters,SG,79.25,74.5,2,71,20.4,1.5,0.2,1.6,4.4,1.3,8.40,2.7,0.075,2.2,365,28.7,1.0,0.3,7.7,0.035,-2.6
Thomas Robinson,PF,85,81,3,105,18.7,0.6,0.7,2.1,1.9,3.9,8.60,5.5,0.112,4.7,313,13.4,0.5,0.4,5.2,0.060,0.4
Damian Lillard,PG,79.75,73.75,4,104,32.3,1.2,0.2,2.1,2.3,0.6,-2.21,3.4,0.040,-1.4,469,36.4,0.9,0.3,11.5,0.032,-1.5
Harrison Barnes,PF,83.25,79,2,75,29.3,0.9,0.4,1.9,1.7,1.3,8.61,3.8,0.069,2.1,463,30.4,0.7,0.2,13.5,0.046,-0.4
Terrence Ross,SG,79.25,78,2,69,24.4,0.9,0.7,2.4,2.1,2.6,6.51,2.7,0.064,2.0,411,23.8,0.8,0.3,8.2,0.040,-1.1
Andre Drummond,C,90.25,81.75,1,34,28.4,0.8,2.7,2.2,1.8,9.9,8.07,1.5,0.062,5.3,463,30.4,1.3,1.5,26.6,0.091,2.3
Austin Rivers,SG,79.25,75.5,1,34,33.2,1.0,0.0,2.2,1.7,0.1,8.40,1.0,0.035,0.0,408,24.3,0.7,0.2,5.1,0.025,-1.6
Meyers Leonard,C,87,83.75,2,65,19.8,0.3,1.1,2.2,1.0,6.5,9.55,2.2,0.068,5.1,332,15.7,0.2,0.3,4.5,0.041,-0.6
Jeremy Lamb,SG,83,76,2,75,32.1,1.0,0.6,1.6,2.0,1.9,9.25,2.9,0.048,1.9,356,18.7,0.6,0.3,7.6,0.055,-0.7
Kendall Marshall,PG,77.5,76,2,73,28.8,1.1,0.1,1.5,2.2,0.4,8.61,3.3,0.063,0.9,160,19.3,0.7,0.1,1.2,0.019,-3.1
John Henson,C,89,81,3,109,23.8,0.6,2.5,1.5,1.5,10.3,9.01,6.7,0.103,8.6,391,20.4,0.5,1.5,10.0,0.060,2.2
Maurice Harkless,SF,84,79.25,1,32,36.1,1.6,1.4,2.3,2.6,4.2,6.98,1.3,0.045,2.0,415,23.0,1.0,0.6,9.2,0.046,0.9
Royce White,PF,84,80,1,34,31.5,1.2,0.9,2.6,2.2,3.0,7.32,2.0,0.075,5.7,3,3.0,0.0,0.0,0.0,0.000,-1.3
Tyler Zeller,C,84,83.25,4,117,23.0,0.7,1.1,2.3,1.6,4.6,8.85,5.6,0.083,4.6,406,17.6,0.3,0.6,6.6,0.044,0.1
Terrence Jones,PF,86,81,2,76,30.4,1.2,1.8,2.4,2.4,5.9,8.42,5.5,0.095,5.4,232,24.0,0.6,1.2,6.9,0.059,1.0
Andrew Nicholson,PF,88,81,4,123,29.9,0.5,2.0,3.0,0.9,6.0,1.35,5.9,0.064,1.4,285,14.3,0.3,0.3,3.3,0.039,-1.8
Jared Sullinger,PF,85.5,81,2,74,31.0,1.1,0.8,2.7,2.1,3.0,8.73,5.9,0.103,4.4,269,24.3,0.7,0.6,9.2,0.068,0.8
Fab Melo,C,87,84,2,63,17.3,0.4,1.8,2.3,1.4,11.7,8.40,2.1,0.077,7.8,6,6.0,0.3,0.3,0.1,0.133,1.7
