Player,Position,Wingspan (in),Height (in),Seasons in College,G-Col,MPG-Col,STL-Col,BLK-Col,PF-Col,STL%-Col,BLK%-Col,SOS-Col,DWS-Col,DWS/40-Col,DBPM-Col,G-NBA,MPG-NBA,STL-NBA,BLK-NBA,DWS-NBA,DWS/48-NBA,DBPM-NBA
Anthony Davis,PF,89.5,81.25,1,40,32.0,1.4,4.7,2.0,2.5,13.7,7.93,4.1,0.128,10.8,410,34.8,1.3,2.4,22.5,0.076,2.2
Michael Kidd-Gilchrist,SF,84,77.75,1,40,31.1,1.0,0.9,2.4,1.9,2.8,7.93,2.6,0.084,4.1,357,26.7,0.7,0.7,10.3,0.052,1.1
Thomas Robinson,PF,85,81,3,105,18.7,0.6,0.7,2.1,1.9,3.9,8.60,5.5,0.112,4.7,313,13.4,0.5,0.4,5.2,0.060,0.4
Harrison Barnes,PF,83.25,79,2,75,29.3,0.9,0.4,1.9,1.7,1.3,8.61,3.8,0.069,2.1,463,30.4,0.7,0.2,13.5,0.046,-0.4
Maurice Harkless,SF,84,79.25,1,32,36.1,1.6,1.4,2.3,2.6,4.2,6.98,1.3,0.045,2.0,415,23.0,1.0,0.6,9.2,0.046,0.9
Royce White,PF,84,80,1,34,31.5,1.2,0.9,2.6,2.2,3.0,7.32,2.0,0.075,5.7,3,3.0,0.0,0.0,0.0,0.000,-1.3
Terrence Jones,PF,86,81,2,76,30.4,1.2,1.8,2.4,2.4,5.9,8.42,5.5,0.095,5.4,232,24.0,0.6,1.2,6.9,0.059,1.0
Andrew Nicholson,PF,88,81,4,123,29.9,0.5,2.0,3.0,0.9,6.0,1.35,5.9,0.064,1.4,285,14.3,0.3,0.3,3.3,0.039,-1.8
Jared Sullinger,PF,85.5,81,2,74,31.0,1.1,0.8,2.7,2.1,3.0,8.73,5.9,0.103,4.4,269,24.3,0.7,0.6,9.2,0.068,0.8
Arnett Moultrie,PF,86.25,83,3,100,30.2,1.0,0.9,2.4,2.0,2.6,3.34,6.5,0.086,0.9,59,12.4,0.4,0.2,0.7,0.046,-0.8
Perry Jones,PF-SF,85.75,83,2,63,32.2,0.7,0.7,2.3,1.3,2.6,6.41,3.2,0.063,2.0,143,11.7,0.3,0.2,1.7,0.049,-1.0
Derrick Williams,PF,85.5,81,2,69,29.2,0.8,0.7,2.7,1.6,2.3,8.04,3.0,0.060,2.6,428,20.7,0.5,0.3,6.8,0.037,-1.6
Markieff Morris,PF,82.75,79.75,3,109,19.3,0.6,0.9,2.7,1.7,4.8,7.92,5.5,0.105,5.6,521,26.4,0.9,0.6,14.8,0.052,0.5
Marcus Morris,PF,82,79,3,109,24.0,0.9,0.4,2.6,1.9,1.8,7.92,5.8,0.089,3.4,470,26.3,0.7,0.2,12.1,0.047,-0.3
Kawhi Leonard,SF,87,78,2,70,31.9,1.4,0.6,2.5,2.7,2.2,5.29,5.7,0.102,5.2,407,30.4,1.8,0.7,24.7,0.096,2.7
Chris Singleton,SF-PF,85,81,3,95,29.1,1.9,1.4,3.1,4.1,5.1,7.05,7.5,0.109,6.9,148,17.6,0.8,0.4,3.3,0.061,1.3
Tobias Harris,PF,83,78.5,1,34,29.2,0.7,0.9,2.1,1.4,3.4,8.73,1.5,0.060,2.3,464,29.6,0.8,0.5,13.0,0.045,-0.4
Kenneth Faried,PF,84,78,4,136,29.1,1.7,1.8,3.1,3.3,8.5,-4.03,12.4,0.125,5.9,441,24.9,0.8,0.8,12.5,0.055,0.7
Jordan Hamilton,SF,81.5,80,2,70,26.2,0.8,0.5,1.5,1.8,1.8,7.67,3.9,0.085,3.3,151,13.9,0.5,0.2,2.0,0.046,-0.8
JaJuan Johnson,PF,86,82,4,140,27.5,0.7,1.9,1.8,1.6,6.7,7.64,11.5,0.119,4.9,36,8.3,0.1,0.4,0.5,0.080,-0.4
