Player,Position,Wingspan (in),Height (in),Seasons in College,G-Col,MPG-Col,STL-Col,BLK-Col,PF-Col,STL%-Col,BLK%-Col,SOS-Col,DWS-Col,DWS/40-Col,DBPM-Col,G-NBA,MPG-NBA,STL-NBA,BLK-NBA,DWS-NBA,DWS/48-NBA,DBPM-NBA
Brandon Knight,PG-SG,78.75,75,1,38,35.9,0.7,0.2,2.2,1.1,0.6,8.91,1.8,0.053,0.5,382,31.3,0.9,0.2,5.8,0.023,-2.0
Kemba Walker,PG,75.5,71.5,3,111,32.9,1.7,0.3,1.5,3.2,0.7,9.39,6.4,0.070,2.7,523,33.9,1.3,0.4,15.4,0.042,-1.0
Jimmer Fredette,SG-PG,76.5,74,4,139,29.6,1.2,0.1,1.2,2.1,0.3,3.56,6.2,0.060,-0.7,235,13.4,0.4,0.0,0.2,0.003,-3.8
Klay Thompson,SG,81,77.75,3,98,34.4,1.3,0.8,2.5,2.6,2.7,6.32,5.5,0.065,3.2,537,32.9,0.9,0.5,16.5,0.045,-1.6
Alec Burks,SG,82,77,2,68,30.9,1.1,0.4,2.4,2.1,1.2,6.65,1.6,0.030,-0.1,365,21.0,0.6,0.1,5.6,0.035,-1.4
Iman Shumpert,SG,81.5,76.25,3,92,31.3,2.3,0.2,2.7,4.3,0.6,7.34,5.5,0.076,3.4,384,25.4,1.2,0.2,9.9,0.049,0.7
Nolan Smith,PG,77.5,75,4,143,26.9,1.0,0.1,1.9,2.1,0.4,8.97,6.7,0.070,2.3,84,9.9,0.3,0.0,0.3,0.017,-2.3
Reggie Jackson,PG,84,75,3,99,28.0,0.8,0.5,1.7,1.6,1.6,7.25,2.9,0.042,0.2,448,24.8,0.7,0.1,10.1,0.044,-1.3
MarShon Brooks,SG,85,77,4,113,25.3,1.1,0.7,2.0,2.5,2.5,7.44,2.6,0.036,1.2,171,17.9,0.6,0.2,1.5,0.024,-1.5
Norris Cole,PG,74.25,74,4,140,29.4,1.5,0.1,2.2,3.5,0.3,1.92,6.4,0.062,2.7,360,22.3,0.8,0.1,6.2,0.037,-1.3
Cory Joseph,PG,77.5,74,1,36,32.4,1.0,0.3,1.8,1.9,0.9,7.96,2.2,0.075,3.7,446,20.8,0.7,0.2,9.2,0.048,0.0
Jimmy Butler,SG,79.5,78,3,106,29.6,1.1,0.5,1.7,2.4,1.6,8.21,4.7,0.060,2.4,458,32.8,1.5,0.5,19.1,0.061,1.0
